Date/Time,CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 09/19  07:20:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,113898.75976743762,63.89465090867325,37.247185294396054,0.9999999999999996,6.6999999999999975,6.6999999999999975,6.6999999999999975,865612979.1353546,22280775.00626078
 09/19  07:30:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,116375.56173423043,63.89465090867325,37.247185294396054,0.9999414500974818,6.6999999999999975,6.6999999999999975,6.6999999999999975,868094948.2988106,21169299.30932389
 09/19  07:40:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,120522.74517794023,63.89465090867328,37.24718529439607,0.9998554062477095,6.7,6.7,6.7,871929397.9731278,21124347.178744867
 09/19  07:50:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,127683.27813415881,63.89465090867328,37.24718529439607,0.9997693623979368,6.7,6.7,6.7,880230311.3202225,21172699.26174564
 09/19  08:00:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,135287.58810430067,63.89465090867328,37.24718529439607,0.9996833185481642,6.7,6.7,6.7,888135841.7243459,21150161.58540753
 09/19  08:10:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,143915.3799908898,63.89465090867328,37.24718529439607,0.9995972746983915,6.7,6.7,6.7,875575510.5647061,27520183.51131961
 09/19  08:20:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,150853.18544319895,63.89465090867328,37.24718529439607,0.9995112308486188,6.7,6.7,6.7,884633668.3516711,31905470.271059874
 09/19  08:30:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,160367.72875152144,63.89465090867328,37.24718529439607,0.9994251869988462,6.7,6.7,6.7,894324644.3267812,22233048.10684565
 09/19  08:40:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,170751.33694928786,63.89465090867328,37.24718529439607,0.9993391431490736,6.7,6.7,6.7,905081283.3479413,21673720.85406187
 09/19  08:50:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,178496.9279636034,63.89465090867328,37.24718529439607,0.9992530992993008,6.7,6.7,6.7,913218691.704003,21701024.323115613
 09/19  09:00:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,185481.41182136865,63.89465090867328,37.24718529439607,0.9991670554495282,6.7,6.7,6.7,920898303.9508636,24190234.835661624
 09/19  09:10:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,192609.60473690767,63.89465090867328,37.24718529439607,0.9990810115997556,6.7,6.7,6.7,899387384.1278435,32972427.64104979
 09/19  09:20:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,199287.0995188591,63.89465090867328,37.24718529439607,0.9989949677499829,6.7,6.7,6.7,910468219.107415,25097527.045467764
 09/19  09:30:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,201841.52277795272,63.89465090867328,37.24718529439607,0.9989089239002102,6.7,6.7,6.7,911666874.1505625,21855363.99390065
 09/19  09:40:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,202043.82926412008,63.89465090867328,37.24718529439607,0.9988228800504376,6.810490518605394,6.810490518605394,6.810490518605394,912196603.7144344,21888939.59399659
 09/19  09:50:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,203422.40189021756,63.89465090867328,37.24718529439607,0.9987368362006649,6.7,6.7,6.7,914438880.3821436,25692178.13624844
 09/19  10:00:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,203937.61480753476,63.89465090867328,37.24718529439607,0.9986507923508923,6.7214040872173095,6.7214040872173095,6.7214040872173095,916742569.5390885,33037779.560376037
 09/19  10:10:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,204363.3087386801,63.89465090867328,37.24718529439607,0.9985647485011196,6.830596457418936,6.830596457418936,6.830596457418936,919490235.0641387,25440773.185459387
 09/19  10:20:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,204651.4982043801,63.89465090867328,37.24718529439607,0.9984787046513469,6.906330205948744,6.906330205948744,6.906330205948744,923183465.4937667,23571335.127742372
 09/19  10:30:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,204806.7878478995,63.89465090867328,37.24718529439607,0.9983926608015743,7.034302854479695,7.034302854479695,7.034302854479695,926525596.1696134,37064340.56088475
 09/19  10:40:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,205004.73534433465,63.89465090867328,37.24718529439607,0.9983066169518017,7.2148230739472,7.2148230739472,7.2148230739472,928279413.703034,28587827.09731646
 09/19  10:50:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,205193.88893220716,63.89465090867328,37.24718529439607,0.9982205731020289,7.351362635527189,7.351362635527189,7.351362635527189,929938177.3551165,23559675.338977296
 09/19  11:00:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,205357.2115889543,63.89465090867328,37.24718529439607,0.9981345292522563,7.47269822974502,7.47269822974502,7.47269822974502,931632466.9542632,34683129.31326384
 09/19  11:10:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,119811.22716708924,63.89465090867328,37.24718529439607,0.94099761139538,7.587702767900564,6.873597591415418,6.873597591415418,835616595.0068572,34281933.63832951
 09/19  11:20:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,142975.0732818548,63.89465090867328,37.24718529439607,0.8750967821826781,10.0,9.179193302554765,9.179193302554765,859241899.3797569,28864793.8293758
 09/19  11:30:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,154159.53042736166,63.89465090867328,37.24718529439607,0.8175168966018568,10.0,9.25604417648817,9.25604417648817,872625670.1683295,44712206.083079055
 09/19  11:40:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,157989.79010913268,63.89465090867328,37.24718529439607,0.7653200713646857,10.0,9.307001153827049,9.307001153827049,877960531.987025,26179962.864948492
 09/19  11:50:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,160039.10944369863,63.89465090867328,37.24718529439607,0.7166925547105621,10.0,9.340965317685246,9.340965317685246,881602745.3414645,37728696.05940413
 09/19  12:00:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,162488.32602211356,63.89465090867328,37.24718529439607,0.6704440759803109,10.0,9.363354394582007,9.363354394582007,886034551.5087928,35850550.17291643
 09/19  12:10:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,169183.67725184615,63.89465090867328,37.24718529439607,0.6257638520506272,10.0,9.37777282829453,9.37777282829453,936315276.8103602,25799477.065138042
 09/19  12:20:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,173151.41566921782,63.89465090867328,37.24718529439607,0.5820935749798786,10.0,9.386850234381477,9.386850234381477,945228685.7248331,43389952.86800904
 09/19  12:30:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,176500.62223663065,63.89465090867328,37.24718529439607,0.5390591296469991,10.0,9.392693412804197,9.392693412804197,951613191.9217111,27195740.702274688
 09/19  12:40:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,179812.52043261548,63.89465090867328,37.24718529439607,0.4964339728548781,10.0,9.397138028785587,9.397138028785587,960425717.7326913,32336822.304783404
 09/19  12:50:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,183927.2474873655,63.89465090867328,37.24718529439607,0.454120141553381,10.0,9.401881292614226,9.401881292614226,971973828.9378048,38638966.074783765
 09/19  13:00:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,188147.02109719795,63.89465090867328,37.24718529439607,0.4121385546898265,10.0,9.408531089154055,9.408531089154055,985795864.983621,25319008.918657538
 09/19  13:10:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,190836.11150532382,63.89465090867328,37.24718529439607,0.3706227563621046,10.0,9.418587159255695,9.418587159255695,999190569.7328888,23258913.90166266
 09/19  13:20:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,193027.92341175748,63.89465090867328,37.24718529439607,0.3298113408137383,10.0,9.433364292443176,9.433364292443176,1011770619.586361,27669605.96952662
 09/19  13:30:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,195155.74450240348,63.89465090867328,37.24718529439607,0.29003499741983163,10.0,9.453871444113688,9.453871444113688,1025320737.6236203,27511671.918492265
 09/19  13:40:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,196688.90662031376,63.89465090867328,37.24718529439607,0.25169508837297494,10.0,9.480671072298165,9.480671072298165,1035778223.7458916,21808724.013792705
 09/19  13:50:00,-1.0,10.0,6.7,1.0,-3.8,10.0,0.0,197545.65783036576,63.89465090867328,37.24718529439607,0.2152323735377214,10.0,9.513755108133648,9.513755108133648,1041766276.8513939,20950754.45370937
